Training/Testing No.,PCA,Accuracy (%),TPP,FPP,TNP,FNP,Precision,Recall (TPR),F-score
9000,1,0.8211666666666667,0.9542222222222222,0.3118888888888889,0.6881111111111111,0.04577777777777778,0.7536638876700307,0.9542222222222222,1.6843343956852168
9000,2,0.8213333333333334,0.954,0.31133333333333335,0.6886666666666666,0.046,0.7539515279241307,0.954,1.6845203060623897
9000,3,0.9396111111111111,0.8845555555555555,0.005333333333333333,0.9946666666666667,0.11544444444444445,0.9940067424147834,0.8845555555555555,1.8721853136574755
9000,4,0.9397222222222222,0.8845555555555555,0.005111111111111111,0.9948888888888889,0.11544444444444445,0.9942550268515049,0.8845555555555555,1.872405480096431
9000,5,0.9398333333333333,0.8842222222222222,0.004555555555555556,0.9954444444444445,0.11577777777777777,0.9948743592949119,0.8842222222222222,1.8725807400435321
9000,6,0.8459444444444445,0.6938888888888889,0.002,0.998,0.3061111111111111,0.997125977965831,0.6938888888888889,1.6366376203891762
9000,7,0.8459444444444445,0.6938888888888889,0.002,0.998,0.3061111111111111,0.997125977965831,0.6938888888888889,1.6366376203891762
9000,8,0.5,0.0,0.0,1.0,1.0,,0.0,
9000,9,0.5,0.0,0.0,1.0,1.0,,0.0,
9000,10,0.5,0.0,0.0,1.0,1.0,,0.0,
