Training/Testing No.,PCA Components,Accuracy (%),True Positive Percentage (TPP),False Positive Percentage (FPP),True Negative Percentage (TNP),False Negative Percentage (FNP),Precision,Recall (True Positive Rate),F-score
18000,1,59.08620689655173,0.8213103448275862,0.6395862068965518,0.3604137931034483,0.17868965517241378,0.5621961006467451,0.8213103448275862,0.6674887201188242
18000,2,63.66551724137931,0.7307586206896551,0.457448275862069,0.5425517241379311,0.2692413793103448,0.6150095768761971,0.7307586206896551,0.6679063317469822
18000,3,71.26896551724138,0.5943448275862069,0.16896551724137931,0.8310344827586207,0.4056551724137931,0.7786411275749909,0.5943448275862069,0.6741239048811014
18000,4,72.9655172413793,0.5706896551724138,0.11137931034482759,0.8886206896551724,0.42931034482758623,0.8367037411526794,0.5706896551724138,0.6785567855678557
18000,5,73.05862068965517,0.5668275862068965,0.1056551724137931,0.8943448275862069,0.43317241379310345,0.8428879089324172,0.5668275862068965,0.6778277184446002
18000,6,71.63448275862069,0.518551724137931,0.08586206896551724,0.9141379310344827,0.48144827586206895,0.8579415791875856,0.518551724137931,0.6464064649243466
18000,7,71.63448275862069,0.517448275862069,0.08475862068965517,0.9152413793103449,0.482551724137931,0.8592533211177279,0.517448275862069,0.6459194214876034
18000,8,53.900000000000006,0.078,0.0,1.0,0.922,1.0,0.078,0.14471243042671614
18000,9,52.868965517241385,0.057379310344827586,0.0,1.0,0.9426206896551724,1.0,0.057379310344827586,0.10853117662405426
18000,10,50.0,0.0,0.0,1.0,1.0,,0.0,
